system_name,n,n_uncertain,accuracy,accuracy_ci_low,accuracy_ci_high,macro_f1,macro_f1_ci_low,macro_f1_ci_high,false_certainty_rate,certain_n,certain_accuracy,certain_macro_f1,borderline_n,borderline_accuracy,borderline_macro_f1
Zero-shot CoT,94,0,0.7340425531914894,0.6382978723404256,0.8191489361702128,0.7171060551342243,0.6179305539426315,0.8077272727272728,0.26595744680851063,94,0.7340425531914894,0.7171060551342243,0,0.0,0.0
Few-shot Prompting,94,0,0.8085106382978723,0.723404255319149,0.8829787234042553,0.7926470588235295,0.7009090909090909,0.8753315649867374,0.19148936170212766,94,0.8085106382978723,0.7926470588235295,0,0.0,0.0
ADSS w/o Symbolic Solver,94,37,0.776595744680851,0.6914893617021277,0.8617021276595744,0.7648600357355568,0.6680063329679699,0.8466200466200466,0.0851063829787234,57,0.8596491228070176,0.8592592592592593,37,0.6486486486486487,0.39344262295081966
Full ADSS,94,24,0.8085106382978723,0.723404255319149,0.8829787234042553,0.8053382420616659,0.7229024943310658,0.8779941002949853,0.1276595744680851,70,0.8285714285714286,0.8273026315789473,24,0.75,0.42857142857142855
