system_name,n,n_uncertain,accuracy,accuracy_ci_low,accuracy_ci_high,macro_f1,macro_f1_ci_low,macro_f1_ci_high,false_certainty_rate
Full ADSS,94,24,0.8085106382978723,0.723404255319149,0.8829787234042553,0.8053382420616659,0.7229024943310658,0.8779941002949853,0.1276595744680851
No Symbolic Solver,94,37,0.776595744680851,0.6914893617021277,0.8617021276595744,0.7648600357355568,0.6680063329679699,0.8466200466200466,0.0851063829787234
No Relation Extraction,94,25,0.8085106382978723,0.723404255319149,0.8829787234042553,0.8053382420616659,0.7229024943310658,0.8779941002949853,0.11702127659574468
No HITL,94,24,0.8085106382978723,0.723404255319149,0.8829787234042553,0.8053382420616659,0.7229024943310658,0.8779941002949853,0.1276595744680851
No UAE,94,24,0.7978723404255319,0.7127659574468085,0.8723404255319149,0.7976662512744987,0.7127334465195245,0.8721088435374149,0.1276595744680851
Fallback Solver,94,24,0.8085106382978723,0.723404255319149,0.8829787234042553,0.8053382420616659,0.7229024943310658,0.8779941002949853,0.1276595744680851
QE Solver,94,18,0.7978723404255319,0.7127659574468085,0.8723404255319149,0.7967451917605555,0.7101085094231868,0.8708791208791209,0.1595744680851064
