system_name,n,n_uncertain,accuracy,accuracy_ci_low,accuracy_ci_high,macro_f1,macro_f1_ci_low,macro_f1_ci_high,false_certainty_rate,certain_n,certain_accuracy,certain_macro_f1,borderline_n,borderline_accuracy,borderline_macro_f1
Zero-shot CoT,82,0,0.7682926829268293,0.6707317073170732,0.8658536585365854,0.7551469432657552,0.6620879120879122,0.8444022770398482,0.23170731707317074,82,0.7682926829268293,0.7551469432657552,0,0.0,0.0
Few-shot Prompting,82,0,0.8414634146341463,0.7560975609756098,0.9146341463414634,0.8373760488176965,0.7485068603712672,0.9145197319434102,0.15853658536585366,82,0.8414634146341463,0.8373760488176965,0,0.0,0.0
ADSS w/o Symbolic Solver,82,17,0.7317073170731707,0.6341463414634146,0.8292682926829268,0.7147375079063883,0.6095238095238096,0.8123569794050344,0.07317073170731707,65,0.9076923076923077,0.8990683229813664,17,0.058823529411764705,0.05555555555555555
Full ADSS,82,8,0.7804878048780488,0.6829268292682927,0.8658536585365854,0.771799628942486,0.6778249253496778,0.853658536585366,0.13414634146341464,74,0.8513513513513513,0.8449819082079604,8,0.125,0.1111111111111111
