system_name,n,n_uncertain,accuracy,accuracy_ci_low,accuracy_ci_high,macro_f1,macro_f1_ci_low,macro_f1_ci_high,false_certainty_rate
Full ADSS,82,8,0.7804878048780488,0.6829268292682927,0.8658536585365854,0.771799628942486,0.6778249253496778,0.853658536585366,0.13414634146341464
No Symbolic Solver,82,17,0.7317073170731707,0.6341463414634146,0.8292682926829268,0.7147375079063883,0.6095238095238096,0.8123569794050344,0.07317073170731707
No Relation Extraction,82,11,0.7804878048780488,0.6829268292682927,0.8658536585365854,0.771799628942486,0.6778249253496778,0.853658536585366,0.0975609756097561
No HITL,82,8,0.7804878048780488,0.6829268292682927,0.8658536585365854,0.771799628942486,0.6778249253496778,0.853658536585366,0.13414634146341464
No UAE,82,8,0.8170731707317073,0.7195121951219512,0.9024390243902439,0.813721035892776,0.7276570048309179,0.8902275769745649,0.13414634146341464
Fallback Solver,82,8,0.7804878048780488,0.6829268292682927,0.8658536585365854,0.771799628942486,0.6778249253496778,0.853658536585366,0.13414634146341464
QE Solver,82,7,0.7804878048780488,0.6829268292682927,0.8658536585365854,0.771799628942486,0.6778249253496778,0.853658536585366,0.14634146341463414
